id,created_at,birthdate,gender,city,state,profile_completed
1,2016-01-07 18:10:23,1978-11-13,M,Bogotá,Cundinamarca,96.0
12,2016-01-07 18:10:23,1980-11-25,M,Medellín,Antioquia,100.0
112,2016-01-18 17:28:56,1995-07-17,F,Envigado,Antioquia,84.0
121,2016-01-18 17:28:57,1996-06-01,M,Medellín,Antioquia,100.0
169,2016-01-18 17:29:03,1985-12-19,M,Medellin,Antioquia,90.0
617,2016-02-01 15:38:03,1981-01-12,F,Medellín,Antioquia,41.0
662,2016-02-04 08:20:30,1995-06-15,M,Medellín,Antioquia,64.0
717,2016-02-05 07:42:58,1991-12-21,F,Avondale Estates,Georgia,37.0
807,2016-02-08 08:34:59,1987-03-23,F,Santa Elena,,55.0
809,2016-02-08 09:43:48,1978-10-29,F,Medellín,Antioquia,98.0
858,2016-02-10 19:40:41,2016-08-29,F,Medellín,Antioquia,69.0
864,2016-02-10 19:40:41,1973-06-19,M,Medellín,Antioquia,89.0
879,2016-02-10 19:40:42,1975-10-09,M,Medellín,Antioquia,86.0
1264,2016-02-19 09:46:47,1998-02-27,M,Medellín,Antioquia,61.0
1353,2016-02-20 11:48:50,1994-01-13,F,Medellín,Antioquia,98.0
1379,2016-02-21 19:20:00,1994-04-22,F,Medellín,Antioquia,56.0
1838,2016-05-24 18:06:24,1974-01-29,M,Medellín,Antioquia,57.0
1876,2016-06-10 14:07:06,1984-11-30,M,Medellín,Antioquia,38.0
1901,2016-06-17 14:42:38,1986-10-27,M,Medellín,Antioquia,99.0
2072,2016-07-15 15:58:02,1991-03-05,M,Medellín,Antioquia,85.0
2245,2016-07-25 10:37:25,1992-10-19,M,Medellín,Antioquia,48.0
2267,2016-07-25 14:28:26,1998-10-28,F,Medellín,Antioquia,100.0
2272,2016-07-25 14:28:26,1997-10-10,M,Medellín,Antioquia,100.0
2275,2016-07-25 14:28:27,1999-04-26,F,Cucuta,Norte de Santander,99.0
2312,2016-07-26 14:14:18,1998-08-16,M,Mosquera,Cundinamarca,100.0
2392,2016-07-27 16:07:59,1995-05-19,M,Medellín,Antioquia,84.0
2397,2016-07-28 07:48:02,1974-09-18,M,Medellín,Antioquia,79.0
2907,2016-08-07 23:41:54,1994-02-16,F,Medellín,Antioquia,87.0
2946,2016-08-08 16:23:01,1963-02-03,M,Medellín,Antioquia,89.0
3059,2016-08-09 09:32:02,1993-03-20,M,Medellín,Antioquia,41.0
3087,2016-08-09 09:40:42,1990-12-03,M,Medellín,Antioquia,100.0
3348,2016-08-10 18:17:31,1994-07-14,M,Medellín,Antioquia,100.0
3455,2016-08-11 10:41:30,1997-11-30,F,Girardota,Antioquia,99.0
3764,2016-08-16 14:08:54,1966-02-14,F,Medellín,Antioquia,100.0
3858,2016-08-17 14:39:53,1995-03-04,F,Medellín,Antioquia,98.0
4134,2016-08-22 13:52:38,1992-08-19,M,Medellín,Antioquia,54.0
4152,2016-08-22 22:43:46,1995-09-24,M,Medellín,Antioquia,33.0
4183,2016-08-23 17:39:28,1986-05-08,F,Medellín,Antioquia,57.0
4307,2016-08-29 10:59:15,1996-02-22,F,Medellín,Antioquia,100.0
4351,2016-08-30 19:11:01,1995-04-06,F,Medellín,Antioquia,98.0
4474,2016-09-06 17:06:25,1973-03-22,F,Bogotá D.C.,,43.0
5111,2017-02-01 10:56:16,1994-04-20,M,Medellín,Antioquia,84.0
5181,2017-02-02 16:15:28,1987-07-04,F,Medellín,Antioquia,52.0
5430,2017-02-06 19:43:03,1996-03-08,M,Medellín,Antioquia,64.0
5481,2017-02-07 15:18:40,2017-02-08,M,Medellín,Antioquia,46.0
5822,2017-02-13 23:31:41,1984-10-17,M,Medellín,Antioquia,55.0
5902,2017-02-15 14:52:37,1992-11-17,F,1992-11-17,Antioquia,98.0
6031,2017-02-17 12:18:40,1982-04-01,F,Medellín,Antioquia,99.0
6089,2017-02-18 10:00:13,1996-10-15,F,Bello,Antioquia,99.0
6951,2017-03-09 16:42:34,1992-05-04,M,Medellín,Antioquia,73.0
7250,2017-03-21 20:56:48,1998-11-27,F,Medellín,Antioquia,59.0
7391,2017-03-26 17:16:03,1997-06-22,M,Medellín,Antioquia,37.0
7680,2017-05-10 22:10:56,1978-05-02,M,Bucaramanga,Santander,100.0
7815,2017-05-24 18:38:19,1979-12-18,M,Monteria,Cordoba,100.0
7945,2017-06-06 14:58:25,1981-01-04,F,Bogotá D.C.,Cundinamarca,82.0
8131,2017-07-04 08:43:33,1983-07-11,M,Medellín,Antioquia,73.0
8433,2017-07-17 12:04:31,2005-05-05,F,Medellín,Antioquia,90.0
8808,2017-07-26 12:10:13,1995-07-26,F,Medellín,Antioquia,46.0
8861,2017-07-26 21:30:38,1983-11-09,M,Medellín,Antioquia,98.0
9015,2017-07-28 07:38:10,1998-06-03,M,Medellín,Antioquia,97.0
9171,2017-08-01 11:37:55,1970-05-19,M,Bogotá D.C.,,90.0
9670,2017-08-08 10:04:57,1998-02-17,F,Medellín,Antioquia,66.0
9680,2017-08-08 11:21:12,1998-01-19,M,Medellín,Antioquia,92.0
10014,2017-08-10 21:10:58,1999-03-06,M,Medellín,Antioquia,100.0
10095,2017-08-11 20:51:39,1997-06-28,F,Medellín,Antioquia,73.0
10256,2017-08-14 18:57:55,1993-09-27,F,Medellín,Antioquia,76.0
10476,2017-08-16 11:57:06,1996-02-04,F,Manizales,Caldas,99.0
10533,2017-08-17 08:08:46,1999-11-01,F,Palmira,Valle del Cauca,37.0
10560,2017-08-17 09:37:34,1998-02-23,M,Medellín,Antioquia,97.0
10562,2017-08-17 09:38:58,1999-08-01,F,Medellín,Antioquia,100.0
10570,2017-08-17 13:11:37,1998-09-19,M,Medellín,Antioquia,100.0
10929,2017-08-22 16:08:25,1996-02-08,F,Medellín,Antioquia,96.0
11038,2017-08-24 13:28:12,1996-11-02,M,Bogotá D.C.,Cundinamarca,98.0
11318,2017-09-02 11:34:39,1995-04-15,F,Popayán,Cauca,94.0
11599,2017-09-23 13:48:05,1998-08-10,M,Neiva,Huila,41.0
11603,2017-09-24 10:31:28,1987-06-14,M,Popayán,Cauca,92.0
12087,2017-11-29 09:06:49,1975-10-20,F,Bucaramanga,Santander,55.0
12790,2018-01-31 14:12:46,1996-08-14,M,Medellín,Antioquia,100.0
13452,2018-02-12 17:45:58,1996-10-30,F,Medellín,Antioquia,92.0
13490,2018-02-12 18:17:43,1997-08-20,F,Medellín,Antioquia,100.0
13544,2018-02-13 08:13:30,1997-05-11,F,Medellín,Antioquia,90.0
13619,2018-02-14 10:37:01,1987-06-03,F,Medellín,Antioquia,38.0
13748,2018-02-15 11:08:32,2001-01-07,M,Bogotá D.C.,,64.0
13947,2018-02-20 09:20:54,1994-08-10,M,Medellín,Antioquia,33.0
13995,2018-02-21 10:53:54,1994-11-18,F,Bucaramanga,Santander,26.0
14040,2018-02-21 16:19:32,1998-05-04,,Medellín,Antioquia,96.0
14050,2018-02-21 16:24:00,1996-01-05,F,Medellín,Antioquia,71.0
14198,2018-02-23 13:07:46,1997-12-18,M,Bogotá D.C.,,55.0
14445,2018-03-02 17:20:01,1995-07-15,M,Medellín,Antioquia,100.0
14619,2018-03-13 21:30:56,1999-07-19,F,Bogotá,Cundinamarca,99.0
14656,2018-03-20 10:50:12,1991-12-20,M,Medellín,Antioquia,51.0
14686,2018-03-28 21:05:30,1995-04-03,M,Medellín,Antioquia,94.0
14833,2018-04-17 21:38:09,1991-08-23,M,Bogotá D.C.,,55.0
15188,2018-04-26 08:53:06,1994-05-12,F,Medellín,Antioquia,57.0
15687,2018-06-25 11:04:17,1996-06-01,M,Medellín,Antioquia,100.0
